Ensembl Gene ID	Ensembl Transcript ID	Chromosome Name	Gene Start (bp)	Associated Gene Name	Transcript Start (bp)	Transcript End (bp)	Gene End (bp)
ENSGACG00000022462	ENSGACT00000029254	groupXIII	9728192		9728192	9728282	9728282
ENSGACG00000022366	ENSGACT00000029158	groupXII	16716687	U3	16716687	16716901	16716901
ENSGACG00000021282	ENSGACT00000028074	groupXIV	5349668		5349668	5349740	5349740
ENSGACG00000022016	ENSGACT00000028808	scaffold_1545	1354	5S_rRNA	1354	1472	1472
ENSGACG00000022435	ENSGACT00000029227	groupXII	16695860	U3	16695860	16696052	16696052
ENSGACG00000021541	ENSGACT00000028333	groupXX	2072808		2072808	2072892	2072892
ENSGACG00000021761	ENSGACT00000028553	scaffold_98	280330	U4	280330	280470	280470
ENSGACG00000021022	ENSGACT00000027814	scaffold_224	15481	5S_rRNA	15481	15599	15599
ENSGACG00000022438	ENSGACT00000029230	groupIII	10655536	snosnR61	10655536	10655597	10655597
ENSGACG00000022395	ENSGACT00000029187	groupXV	332821	SNORD83	332821	332896	332896
ENSGACG00000021942	ENSGACT00000028734	scaffold_1281	3531	U1	3531	3694	3694
ENSGACG00000022336	ENSGACT00000029128	scaffold_325	18207	U3	18207	18421	18421
ENSGACG00000021329	ENSGACT00000028121	groupXVII	11961884		11961884	11961996	11961996
ENSGACG00000021685	ENSGACT00000028477	scaffold_1690	971	5S_rRNA	971	1089	1089
ENSGACG00000022250	ENSGACT00000029042	groupI	10096276		10096276	10096367	10096367
ENSGACG00000022090	ENSGACT00000028882	scaffold_275	39755	5S_rRNA	39755	39873	39873
ENSGACG00000021869	ENSGACT00000028661	scaffold_275	14589	5S_rRNA	14589	14707	14707
ENSGACG00000021253	ENSGACT00000028045	groupXV	1309794		1309794	1309875	1309875
ENSGACG00000021157	ENSGACT00000027949	scaffold_54	684277	U6	684277	684382	684382
ENSGACG00000021799	ENSGACT00000028591	scaffold_477	16120	U2	16120	16310	16310
ENSGACG00000022227	ENSGACT00000029019	groupVII	18309995		18309995	18310089	18310089
ENSGACG00000022631	ENSGACT00000029423	groupX	7888167	U8	7888167	7888308	7888308
ENSGACG00000021707	ENSGACT00000028499	scaffold_1246	2504	U4	2504	2644	2644
ENSGACG00000021714	ENSGACT00000028506	scaffold_1638	1369	U2	1369	1559	1559
ENSGACG00000021357	ENSGACT00000028149	groupIV	28194245		28194245	28194327	28194327
ENSGACG00000021928	ENSGACT00000028720	scaffold_275	39991	5S_rRNA	39991	40111	40111
ENSGACG00000021784	ENSGACT00000028576	groupVIII	9805161	5S_rRNA	9805161	9805279	9805279
ENSGACG00000022183	ENSGACT00000028975	groupVII	15576697		15576697	15576779	15576779
ENSGACG00000021600	ENSGACT00000028392	groupXII	16559329	5S_rRNA	16559329	16559447	16559447
ENSGACG00000022791	ENSGACT00000029583	groupIII	9225550	SNORD2	9225550	9225621	9225621
ENSGACG00000022100	ENSGACT00000028892	scaffold_477	13990	U1	13990	14153	14153
ENSGACG00000022792	ENSGACT00000029584	scaffold_477	10036	U5	10036	10152	10152
ENSGACG00000022598	ENSGACT00000029390	groupXI	6569094	Telomerase-vert	6569094	6569447	6569447
ENSGACG00000021109	ENSGACT00000027901	scaffold_275	38094	5S_rRNA	38094	38212	38212
ENSGACG00000022219	ENSGACT00000029011	groupXVII	2674299		2674299	2674369	2674369
ENSGACG00000022147	ENSGACT00000028939	groupXII	6929629		6929629	6929716	6929716
ENSGACG00000021480	ENSGACT00000028272	scaffold_275	29137	5S_rRNA	29137	29257	29257
ENSGACG00000022465	ENSGACT00000029257	groupII	9767684		9767684	9767757	9767757
ENSGACG00000022245	ENSGACT00000029037	groupXVI	9147565		9147565	9147651	9147651
ENSGACG00000021566	ENSGACT00000028358	scaffold_148	184574	U2	184574	184765	184765
ENSGACG00000021122	ENSGACT00000027914	groupXII	16557604	5S_rRNA	16557604	16557722	16557722
ENSGACG00000022056	ENSGACT00000028848	scaffold_98	284712	U4	284712	284852	284852
ENSGACG00000022628	ENSGACT00000029420	scaffold_239	7278		7278	7371	7371
ENSGACG00000020998	ENSGACT00000027790	scaffold_477	1714	U1	1714	1877	1877
ENSGACG00000021656	ENSGACT00000028448	groupI	16924654	U1	16924654	16924817	16924817
ENSGACG00000021221	ENSGACT00000028013	groupIV	28190047		28190047	28190123	28190123
ENSGACG00000021263	ENSGACT00000028055	groupIII	13373309		13373309	13373400	13373400
ENSGACG00000022119	ENSGACT00000028911	scaffold_275	17422	5S_rRNA	17422	17541	17541
ENSGACG00000022793	ENSGACT00000029585	scaffold_186	131008	SCARNA6	131008	131278	131278
ENSGACG00000021652	ENSGACT00000028444	groupXII	16554765	5S_rRNA	16554765	16554883	16554883
ENSGACG00000021671	ENSGACT00000028463	scaffold_275	40233	5S_rRNA	40233	40351	40351
ENSGACG00000021254	ENSGACT00000028046	groupIII	6924762		6924762	6924849	6924849
ENSGACG00000022794	ENSGACT00000029586	scaffold_721	10306	U5	10306	10422	10422
ENSGACG00000021851	ENSGACT00000028643	scaffold_721	5764	U1	5764	5927	5927
ENSGACG00000022053	ENSGACT00000028845	scaffold_54	677007	U6	677007	677112	677112
ENSGACG00000022795	ENSGACT00000029587	groupIV	6679225	SNORA69	6679225	6679356	6679356
ENSGACG00000021235	ENSGACT00000028027	groupIV	28150100		28150100	28150176	28150176
ENSGACG00000022118	ENSGACT00000028910	groupI	17381593	U2	17381593	17381783	17381783
ENSGACG00000021124	ENSGACT00000027916	scaffold_275	3390	5S_rRNA	3390	3509	3509
ENSGACG00000021716	ENSGACT00000028508	scaffold_1398	3155	5S_rRNA	3155	3273	3273
ENSGACG00000022796	ENSGACT00000029588	groupIX	5186172	SNORD60	5186172	5186258	5186258
ENSGACG00000021894	ENSGACT00000028686	groupVI	7884497	7SK	7884497	7884817	7884817
ENSGACG00000021820	ENSGACT00000028612	groupXII	16558857	5S_rRNA	16558857	16558975	16558975
ENSGACG00000020995	ENSGACT00000027787	groupVIII	13815407	SNORD77	13815407	13815486	13815486
ENSGACG00000021240	ENSGACT00000028032	groupIV	28137672		28137672	28137748	28137748
ENSGACG00000022244	ENSGACT00000029036	groupV	11295926		11295926	11296020	11296020
ENSGACG00000020987	ENSGACT00000027779	groupX	11655922	5S_rRNA	11655922	11656039	11656039
ENSGACG00000022629	ENSGACT00000029421	groupX	7889270	U8	7889270	7889402	7889402
ENSGACG00000022190	ENSGACT00000028982	groupXVI	9147875		9147875	9147959	9147959
ENSGACG00000022071	ENSGACT00000028863	groupXII	16556178	5S_rRNA	16556178	16556296	16556296
ENSGACG00000022203	ENSGACT00000028995	groupXI	2944995		2944995	2945064	2945064
ENSGACG00000022010	ENSGACT00000028802	scaffold_275	40468	5S_rRNA	40468	40587	40587
ENSGACG00000022797	ENSGACT00000029589	scaffold_88	49502		49502	49587	49587
ENSGACG00000022546	ENSGACT00000029338	groupXI	8256450		8256450	8256560	8256560
ENSGACG00000022644	ENSGACT00000029436	groupXXI	6661920	SNORD12	6661920	6662012	6662012
ENSGACG00000021856	ENSGACT00000028648	scaffold_275	23619	5S_rRNA	23619	23737	23737
ENSGACG00000021637	ENSGACT00000028429	scaffold_275	33399	5S_rRNA	33399	33518	33518
ENSGACG00000022111	ENSGACT00000028903	scaffold_721	9604	U2	9604	9794	9794
ENSGACG00000022044	ENSGACT00000028836	scaffold_672	690	5S_rRNA	690	812	812
ENSGACG00000021495	ENSGACT00000028287	groupVIII	13312755		13312755	13312824	13312824
ENSGACG00000021201	ENSGACT00000027993	scaffold_112	92099		92099	92185	92185
ENSGACG00000022066	ENSGACT00000028858	groupXI	4068546	U12	4068546	4068699	4068699
ENSGACG00000021877	ENSGACT00000028669	scaffold_1619	4062	5S_rRNA	4062	4180	4180
ENSGACG00000021226	ENSGACT00000028018	groupIV	28181983		28181983	28182059	28182059
ENSGACG00000021628	ENSGACT00000028420	scaffold_1034	4844	5S_rRNA	4844	4962	4962
ENSGACG00000022798	ENSGACT00000029590	groupII	22345373	SNORA65	22345373	22345501	22345501
ENSGACG00000022294	ENSGACT00000029086	scaffold_464	12623		12623	12699	12699
ENSGACG00000022123	ENSGACT00000028915	scaffold_1619	273	5S_rRNA	273	391	391
ENSGACG00000022799	ENSGACT00000029591	scaffold_721	5205	U5	5205	5321	5321
ENSGACG00000022184	ENSGACT00000028976	groupIV	28156796		28156796	28156905	28156905
ENSGACG00000022580	ENSGACT00000029372	scaffold_159	10353		10353	10435	10435
ENSGACG00000022398	ENSGACT00000029190	groupIX	13746890	U3	13746890	13747104	13747104
ENSGACG00000022682	ENSGACT00000029474	groupXXI	6660201	SNORD12	6660201	6660291	6660291
ENSGACG00000021966	ENSGACT00000028758	scaffold_1445	3841	U2	3841	4031	4031
ENSGACG00000021737	ENSGACT00000028529	groupVI	5838754	5S_rRNA	5838754	5838872	5838872
ENSGACG00000022085	ENSGACT00000028877	scaffold_503	308	5_8S_rRNA	308	461	461
ENSGACG00000021721	ENSGACT00000028513	scaffold_1034	3665	5S_rRNA	3665	3783	3783
ENSGACG00000021953	ENSGACT00000028745	scaffold_275	4574	5S_rRNA	4574	4693	4693
ENSGACG00000022039	ENSGACT00000028831	scaffold_275	38329	5S_rRNA	38329	38447	38447
ENSGACG00000022800	ENSGACT00000029592	groupII	10573512	snoMBII-202	10573512	10573594	10573594
ENSGACG00000022801	ENSGACT00000029593	groupXVIII	8737724	SNORA29	8737724	8737866	8737866
ENSGACG00000021103	ENSGACT00000027895	scaffold_1819	184	5S_rRNA	184	302	302
ENSGACG00000021512	ENSGACT00000028304	groupXIX	13828830		13828830	13828926	13828926
ENSGACG00000022802	ENSGACT00000029594	groupIV	10266923	Vault	10266923	10267022	10267022
ENSGACG00000022803	ENSGACT00000029595	scaffold_1234	2926	U5	2926	3042	3042
ENSGACG00000022036	ENSGACT00000028828	scaffold_636	457	U2	457	647	647
ENSGACG00000021079	ENSGACT00000027871	scaffold_1589	2002	5S_rRNA	2002	2120	2120
ENSGACG00000022804	ENSGACT00000029596	groupXI	3745784	SNORA21	3745784	3745917	3745917
ENSGACG00000022281	ENSGACT00000029073	scaffold_464	11439		11439	11515	11515
ENSGACG00000021824	ENSGACT00000028616	scaffold_275	18618	5S_rRNA	18618	18739	18739
ENSGACG00000022514	ENSGACT00000029306	groupVII	383533		383533	383598	383598
ENSGACG00000021443	ENSGACT00000028235	groupIX	18425222		18425222	18425310	18425310
ENSGACG00000022160	ENSGACT00000028952	groupXVII	10624445		10624445	10624525	10624525
ENSGACG00000022805	ENSGACT00000029597	groupXX	11803584	snoU85	11803584	11803909	11803909
ENSGACG00000022028	ENSGACT00000028820	scaffold_1246	917	U4	917	1057	1057
ENSGACG00000021361	ENSGACT00000028153	groupIV	28187774		28187774	28187856	28187856
ENSGACG00000022170	ENSGACT00000028962	groupX	9905447		9905447	9905521	9905521
ENSGACG00000021853	ENSGACT00000028645	scaffold_275	30557	5S_rRNA	30557	30677	30677
ENSGACG00000022310	ENSGACT00000029102	groupI	10096043		10096043	10096129	10096129
ENSGACG00000022288	ENSGACT00000029080	scaffold_464	16878		16878	16954	16954
ENSGACG00000021829	ENSGACT00000028621	scaffold_275	22415	5S_rRNA	22415	22533	22533
ENSGACG00000021101	ENSGACT00000027893	scaffold_844	2820	U2	2820	2966	2966
ENSGACG00000022806	ENSGACT00000029598	scaffold_148	179512	U5	179512	179628	179628
ENSGACG00000021625	ENSGACT00000028417	groupXII	16560501	5S_rRNA	16560501	16560619	16560619
ENSGACG00000021986	ENSGACT00000028778	scaffold_275	15067	5S_rRNA	15067	15187	15187
ENSGACG00000022097	ENSGACT00000028889	scaffold_1398	2456	5S_rRNA	2456	2574	2574
ENSGACG00000022807	ENSGACT00000029599	scaffold_1281	4673	U5	4673	4789	4789
ENSGACG00000022808	ENSGACT00000029600	scaffold_823	543	U5	543	659	659
ENSGACG00000022809	ENSGACT00000029601	scaffold_1079	1236		1236	1326	1326
ENSGACG00000021113	ENSGACT00000027905	scaffold_275	369	5S_rRNA	369	487	487
ENSGACG00000021750	ENSGACT00000028542	scaffold_1445	92	U1	92	255	255
ENSGACG00000021139	ENSGACT00000027931	scaffold_1620	3511	U1	3511	3579	3579
ENSGACG00000022548	ENSGACT00000029340	groupX	3498931		3498931	3499037	3499037
ENSGACG00000022312	ENSGACT00000029104	groupX	7388526		7388526	7388622	7388622
ENSGACG00000021288	ENSGACT00000028080	groupX	8103236		8103236	8103307	8103307
ENSGACG00000022177	ENSGACT00000028969	scaffold_464	11247		11247	11353	11353
ENSGACG00000022335	ENSGACT00000029127	scaffold_1422	440	U3	440	654	654
ENSGACG00000021658	ENSGACT00000028450	scaffold_275	6008	5S_rRNA	6008	6126	6126
ENSGACG00000021342	ENSGACT00000028134	groupXIII	1082646		1082646	1082727	1082727
ENSGACG00000020989	ENSGACT00000027781	scaffold_844	4571	U2	4571	4761	4761
ENSGACG00000021622	ENSGACT00000028414	scaffold_275	32218	5S_rRNA	32218	32335	32335
ENSGACG00000022810	ENSGACT00000029602	scaffold_1487	2486	U5	2486	2602	2602
ENSGACG00000021701	ENSGACT00000028493	scaffold_1434	1370	U1	1370	1533	1533
ENSGACG00000021296	ENSGACT00000028088	groupXX	9290682		9290682	9290787	9290787
ENSGACG00000021018	ENSGACT00000027810	scaffold_275	34811	5S_rRNA	34811	34927	34927
ENSGACG00000021239	ENSGACT00000028031	groupIV	28144002		28144002	28144078	28144078
ENSGACG00000022587	ENSGACT00000029379	groupVII	700946	SNORD61	700946	701021	701021
ENSGACG00000022363	ENSGACT00000029155	groupXI	3407569	snoZ30	3407569	3407671	3407671
ENSGACG00000022259	ENSGACT00000029051	groupVI	8371087		8371087	8371196	8371196
ENSGACG00000022811	ENSGACT00000029603	groupXX	16031660		16031660	16031741	16031741
ENSGACG00000022324	ENSGACT00000029116	groupX	3210656	SNORA3	3210656	3210788	3210788
ENSGACG00000022255	ENSGACT00000029047	scaffold_464	1082		1082	1188	1188
ENSGACG00000022241	ENSGACT00000029033	groupXVIII	10692596		10692596	10692679	10692679
ENSGACG00000022256	ENSGACT00000029048	scaffold_464	6727		6727	6803	6803
ENSGACG00000022030	ENSGACT00000028822	scaffold_844	6377	U2	6377	6567	6567
ENSGACG00000022331	ENSGACT00000029123	groupXII	16704177	U3	16704177	16704391	16704391
ENSGACG00000022544	ENSGACT00000029336	groupII	14259408		14259408	14259498	14259498
ENSGACG00000021436	ENSGACT00000028228	groupXVII	11345762		11345762	11345840	11345840
ENSGACG00000022577	ENSGACT00000029369	scaffold_27	3141428		3141428	3141538	3141538
ENSGACG00000022592	ENSGACT00000029384	groupVIII	10776730	SNORA57	10776730	10776867	10776867
ENSGACG00000022093	ENSGACT00000028885	scaffold_98	292874	U4	292874	293014	293014
ENSGACG00000021428	ENSGACT00000028220	groupXVI	12234164		12234164	12234249	12234249
ENSGACG00000022660	ENSGACT00000029452	groupXI	2546688	SNORA62	2546688	2546827	2546827
ENSGACG00000021664	ENSGACT00000028456	scaffold_275	31507	5S_rRNA	31507	31625	31625
ENSGACG00000021639	ENSGACT00000028431	scaffold_148	185042	U1	185042	185205	185205
ENSGACG00000022812	ENSGACT00000029604	groupII	5860017	SCARNA15	5860017	5860149	5860149
ENSGACG00000021941	ENSGACT00000028733	scaffold_360	46685	U2	46685	46831	46831
ENSGACG00000022813	ENSGACT00000029605	groupXI	10700172	SNORA50	10700172	10700305	10700305
ENSGACG00000022559	ENSGACT00000029351	groupXVI	16192940		16192940	16193060	16193060
ENSGACG00000022591	ENSGACT00000029383	scaffold_325	12635	U3	12635	12861	12861
ENSGACG00000022448	ENSGACT00000029240	scaffold_68	839450	SNORD59	839450	839519	839519
ENSGACG00000022571	ENSGACT00000029363	groupXVII	4962517		4962517	4962627	4962627
ENSGACG00000022594	ENSGACT00000029386	groupXI	15679927	SNORA54	15679927	15680056	15680056
ENSGACG00000021431	ENSGACT00000028223	groupXI	4111819		4111819	4111927	4111927
ENSGACG00000022814	ENSGACT00000029606	scaffold_273	4191	SNORD111	4191	4275	4275
ENSGACG00000022815	ENSGACT00000029607	groupI	17088361	snoU2-30	17088361	17088445	17088445
ENSGACG00000022602	ENSGACT00000029394	groupVII	7727427	SNORD29	7727427	7727490	7727490
ENSGACG00000022816	ENSGACT00000029608	scaffold_554	496		496	576	576
ENSGACG00000021189	ENSGACT00000027981	groupXII	16554530	5S_rRNA	16554530	16554648	16554648
ENSGACG00000021217	ENSGACT00000028009	groupIV	28136272		28136272	28136364	28136364
ENSGACG00000021947	ENSGACT00000028739	scaffold_1690	16	5S_rRNA	16	125	125
ENSGACG00000021285	ENSGACT00000028077	groupXXI	9149836		9149836	9149906	9149906
ENSGACG00000022352	ENSGACT00000029144	scaffold_151	137386	snoR38	137386	137455	137455
ENSGACG00000021641	ENSGACT00000028433	scaffold_704	5142	U2	5142	5332	5332
ENSGACG00000022045	ENSGACT00000028837	groupXII	16549351	5S_rRNA	16549351	16549469	16549469
ENSGACG00000021839	ENSGACT00000028631	scaffold_275	35500	5S_rRNA	35500	35618	35618
ENSGACG00000021411	ENSGACT00000028203	groupXXI	7414922		7414922	7414998	7414998
ENSGACG00000022817	ENSGACT00000029609	groupXII	12345229	RNaseP_nuc	12345229	12345537	12345537
ENSGACG00000021804	ENSGACT00000028596	scaffold_1034	5314	5S_rRNA	5314	5432	5432
ENSGACG00000021373	ENSGACT00000028165	groupIV	28136953		28136953	28137035	28137035
ENSGACG00000022258	ENSGACT00000029050	groupXII	5710813		5710813	5710899	5710899
ENSGACG00000021935	ENSGACT00000028727	scaffold_275	35265	5S_rRNA	35265	35383	35383
ENSGACG00000022818	ENSGACT00000029610	scaffold_1529	71	U5	71	187	187
ENSGACG00000022419	ENSGACT00000029211	scaffold_758	6628	U3	6628	6842	6842
ENSGACG00000022542	ENSGACT00000029334	groupVIII	13814459	SNORD75	13814459	13814520	13814520
ENSGACG00000022560	ENSGACT00000029352	groupXVII	12663767		12663767	12663843	12663843
ENSGACG00000022819	ENSGACT00000029611	scaffold_1677	643	U5	643	759	759
ENSGACG00000021136	ENSGACT00000027928	scaffold_477	3944	U2	3944	4134	4134
ENSGACG00000021166	ENSGACT00000027958	scaffold_1529	2408	U2	2408	2599	2599
ENSGACG00000022535	ENSGACT00000029327	groupXVI	17216676		17216676	17216755	17216755
ENSGACG00000022637	ENSGACT00000029429	groupIII	8859058	SNORD21	8859058	8859156	8859156
ENSGACG00000022084	ENSGACT00000028876	scaffold_1034	2958	5S_rRNA	2958	3076	3076
ENSGACG00000022553	ENSGACT00000029345	groupIV	16690488		16690488	16690570	16690570
ENSGACG00000021021	ENSGACT00000027813	scaffold_80	91919	U5	91919	92035	92035
ENSGACG00000021635	ENSGACT00000028427	groupXII	16553826	5S_rRNA	16553826	16553944	16553944
ENSGACG00000022063	ENSGACT00000028855	scaffold_88	52647	5_8S_rRNA	52647	52800	52800
ENSGACG00000021945	ENSGACT00000028737	groupIII	6476385	U6	6476385	6476491	6476491
ENSGACG00000021538	ENSGACT00000028330	groupXII	9931592		9931592	9931686	9931686
ENSGACG00000021479	ENSGACT00000028271	scaffold_464	972		972	1047	1047
ENSGACG00000022135	ENSGACT00000028927	scaffold_1281	3971	U2	3971	4161	4161
ENSGACG00000021481	ENSGACT00000028273	scaffold_464	3511		3511	3586	3586
ENSGACG00000020962	ENSGACT00000027754	scaffold_477	12296	U1	12296	12459	12459
ENSGACG00000022820	ENSGACT00000029612	scaffold_477	11737	U5	11737	11853	11853
ENSGACG00000022015	ENSGACT00000028807	groupXII	16556414	5S_rRNA	16556414	16556532	16556532
ENSGACG00000022821	ENSGACT00000029613	scaffold_360	48391	U2	48391	48504	48504
ENSGACG00000022257	ENSGACT00000029049	scaffold_464	4011		4011	4103	4103
ENSGACG00000022822	ENSGACT00000029614	scaffold_120	54082	SNORD89	54082	54184	54184
ENSGACG00000021015	ENSGACT00000027807	scaffold_275	35973	5S_rRNA	35973	36091	36091
ENSGACG00000022823	ENSGACT00000029615	groupXII	18399357	5S_rRNA	18399357	18399388	18399388
ENSGACG00000021732	ENSGACT00000028524	scaffold_98	280956	U4	280956	281096	281096
ENSGACG00000022824	ENSGACT00000029616	scaffold_844	5644	U5	5644	5760	5760
ENSGACG00000022825	ENSGACT00000029617	scaffold_1021	3348	U5	3348	3464	3464
ENSGACG00000021034	ENSGACT00000027826	scaffold_1677	128	U1	128	291	291
ENSGACG00000021485	ENSGACT00000028277	scaffold_464	8782		8782	8857	8857
ENSGACG00000021847	ENSGACT00000028639	scaffold_672	35619	5S_rRNA	35619	35737	35737
ENSGACG00000020969	ENSGACT00000027761	groupXII	16556650	5S_rRNA	16556650	16556768	16556768
ENSGACG00000022265	ENSGACT00000029057	groupIV	28149085		28149085	28149192	28149192
ENSGACG00000021123	ENSGACT00000027915	scaffold_477	7537	U2	7537	7727	7727
ENSGACG00000022222	ENSGACT00000029014	groupXIX	4785498		4785498	4785591	4785591
ENSGACG00000021575	ENSGACT00000028367	scaffold_1034	360	5S_rRNA	360	478	478
ENSGACG00000021075	ENSGACT00000027867	scaffold_1021	574	U2	574	764	764
ENSGACG00000021715	ENSGACT00000028507	groupVIII	13815641	snosnR60_Z15	13815641	13815723	13815723
ENSGACG00000021540	ENSGACT00000028332	groupXVI	18014862		18014862	18014947	18014947
ENSGACG00000022180	ENSGACT00000028972	groupXII	12165321		12165321	12165420	12165420
ENSGACG00000021602	ENSGACT00000028394	scaffold_1856	496	5S_rRNA	496	614	614
ENSGACG00000021782	ENSGACT00000028574	scaffold_148	171597	U2	171597	171788	171788
ENSGACG00000022826	ENSGACT00000029618	scaffold_27	86069	SNORA47	86069	86140	86140
ENSGACG00000022072	ENSGACT00000028864	scaffold_1434	3161	U1	3161	3324	3324
ENSGACG00000022827	ENSGACT00000029619	scaffold_704	10105	U5	10105	10221	10221
ENSGACG00000021587	ENSGACT00000028379	scaffold_672	35854	5S_rRNA	35854	35972	35972
ENSGACG00000022047	ENSGACT00000028839	scaffold_651	968	U4	968	1108	1108
ENSGACG00000021515	ENSGACT00000028307	groupIV	15981048		15981048	15981131	15981131
ENSGACG00000021154	ENSGACT00000027946	scaffold_54	678825	U6	678825	678930	678930
ENSGACG00000021447	ENSGACT00000028239	groupXIX	8106140		8106140	8106228	8106228
ENSGACG00000022189	ENSGACT00000028981	groupVII	12393266		12393266	12393362	12393362
ENSGACG00000022828	ENSGACT00000029620	groupIV	10266302	Vault	10266302	10266401	10266401
ENSGACG00000022276	ENSGACT00000029068	groupII	7843020		7843020	7843100	7843100
ENSGACG00000022172	ENSGACT00000028964	groupVII	17148080		17148080	17148164	17148164
ENSGACG00000022178	ENSGACT00000028970	groupVI	4231011		4231011	4231089	4231089
ENSGACG00000022624	ENSGACT00000029416	groupII	20282334	SNORD67	20282334	20282447	20282447
ENSGACG00000021098	ENSGACT00000027890	scaffold_672	33256	5S_rRNA	33256	33374	33374
ENSGACG00000021266	ENSGACT00000028058	groupXIX	15173972		15173972	15174062	15174062
ENSGACG00000022329	ENSGACT00000029121	groupIX	5138396	SNORD60	5138396	5138479	5138479
ENSGACG00000022187	ENSGACT00000028979	groupIII	7158659		7158659	7158740	7158740
ENSGACG00000022057	ENSGACT00000028849	scaffold_275	23855	5S_rRNA	23855	23975	23975
ENSGACG00000020957	ENSGACT00000027749	scaffold_1619	742	5S_rRNA	742	859	859
ENSGACG00000021973	ENSGACT00000028765	scaffold_1398	1513	5S_rRNA	1513	1625	1625
ENSGACG00000021925	ENSGACT00000028717	scaffold_477	8893	U1	8893	9056	9056
ENSGACG00000022286	ENSGACT00000029078	groupXII	10902021		10902021	10902111	10902111
ENSGACG00000021209	ENSGACT00000028001	groupXVII	11962085		11962085	11962173	11962173
ENSGACG00000021772	ENSGACT00000028564	scaffold_651	6602	U4	6602	6742	6742
ENSGACG00000021040	ENSGACT00000027832	scaffold_672	38001	5S_rRNA	38001	38122	38122
ENSGACG00000021252	ENSGACT00000028044	groupVII	14122537		14122537	14122643	14122643
ENSGACG00000021728	ENSGACT00000028520	scaffold_704	3931	U1	3931	4094	4094
ENSGACG00000021035	ENSGACT00000027827	groupXIX	6557930	SNORD16	6557930	6558027	6558027
ENSGACG00000021567	ENSGACT00000028359	scaffold_1545	408	5S_rRNA	408	526	526
ENSGACG00000022829	ENSGACT00000029621	scaffold_327	11416		11416	11506	11506
ENSGACG00000021127	ENSGACT00000027919	scaffold_98	286585	U4	286585	286725	286725
ENSGACG00000021723	ENSGACT00000028515	scaffold_275	27932	5S_rRNA	27932	28057	28057
ENSGACG00000022830	ENSGACT00000029622	scaffold_672	35422	5S_rRNA	35422	35502	35502
ENSGACG00000021044	ENSGACT00000027836	scaffold_477	14430	U2	14430	14620	14620
ENSGACG00000021382	ENSGACT00000028174	scaffold_464	3350		3350	3432	3432
ENSGACG00000021171	ENSGACT00000027963	scaffold_275	9088	5S_rRNA	9088	9206	9206
ENSGACG00000021017	ENSGACT00000027809	scaffold_1246	3130	U4	3130	3270	3270
ENSGACG00000021850	ENSGACT00000028642	scaffold_1034	2484	5S_rRNA	2484	2603	2603
ENSGACG00000021967	ENSGACT00000028759	scaffold_1034	4608	5S_rRNA	4608	4726	4726
ENSGACG00000022640	ENSGACT00000029432	groupIII	8857593	SNORD21	8857593	8857691	8857691
ENSGACG00000021450	ENSGACT00000028242	groupXIII	10404322		10404322	10404393	10404393
ENSGACG00000021934	ENSGACT00000028726	scaffold_1619	977	5S_rRNA	977	1095	1095
ENSGACG00000021670	ENSGACT00000028462	groupVIII	9804320	5S_rRNA	9804320	9804438	9804438
ENSGACG00000022425	ENSGACT00000029217	groupVII	2497885	U3	2497885	2498099	2498099
ENSGACG00000021483	ENSGACT00000028275	scaffold_464	6246		6246	6321	6321
ENSGACG00000021141	ENSGACT00000027933	scaffold_148	178445	U2	178445	178637	178637
ENSGACG00000021262	ENSGACT00000028054	groupI	6030579		6030579	6030650	6030650
ENSGACG00000021722	ENSGACT00000028514	scaffold_721	4503	U2	4503	4693	4693
ENSGACG00000022684	ENSGACT00000029476	scaffold_360	3756	U5	3756	3872	3872
ENSGACG00000021359	ENSGACT00000028151	groupIV	28191886		28191886	28191968	28191968
ENSGACG00000021542	ENSGACT00000028334	groupII	7827755		7827755	7827814	7827814
ENSGACG00000022338	ENSGACT00000029130	scaffold_758	2457	U3	2457	2671	2671
ENSGACG00000021292	ENSGACT00000028084	groupIV	29062298		29062298	29062397	29062397
ENSGACG00000022421	ENSGACT00000029213	groupXII	16701397	U3	16701397	16701611	16701611
ENSGACG00000021712	ENSGACT00000028504	scaffold_651	7854	U4	7854	7994	7994
ENSGACG00000022623	ENSGACT00000029415	groupXI	15680957	snoU83B	15680957	15681050	15681050
ENSGACG00000021159	ENSGACT00000027951	scaffold_1856	24	5S_rRNA	24	142	142
ENSGACG00000021673	ENSGACT00000028465	groupIII	5907431	U5	5907431	5907545	5907545
ENSGACG00000021010	ENSGACT00000027802	scaffold_275	20278	5S_rRNA	20278	20396	20396
ENSGACG00000022685	ENSGACT00000029477	groupXVI	1677152	ACA64	1677152	1677281	1677281
ENSGACG00000022686	ENSGACT00000029478	scaffold_148	185640	U5	185640	185756	185756
ENSGACG00000022374	ENSGACT00000029166	groupXII	16698618	U3	16698618	16698831	16698831
ENSGACG00000022134	ENSGACT00000028926	scaffold_275	12693	5S_rRNA	12693	12812	12812
ENSGACG00000021669	ENSGACT00000028461	scaffold_721	4063	U1	4063	4226	4226
ENSGACG00000022626	ENSGACT00000029418	scaffold_114	17626		17626	17704	17704
ENSGACG00000021419	ENSGACT00000028211	groupIII	13374387		13374387	13374488	13374488
ENSGACG00000021881	ENSGACT00000028673	scaffold_98	279704	U4	279704	279844	279844
ENSGACG00000022019	ENSGACT00000028811	scaffold_704	5912	U2	5912	6102	6102
